"datetime","date","cphyll-i-subdaily-ugpL","epoch"
"2019-02-14 20:00:26","2019-02-14",3.12,1550174426000
"2019-02-14 21:00:26","2019-02-14",3.1,1550178026000
"2019-02-14 22:00:26","2019-02-14",3.23,1550181626000
"2019-02-14 23:00:26","2019-02-14",3.06,1550185226000
"2019-02-15 00:00:51","2019-02-15",3.28,1550188851000
"2019-02-15 01:00:26","2019-02-15",3.08,1550192426000
"2019-02-15 02:00:26","2019-02-15",3.04,1550196026000
"2019-02-15 03:00:26","2019-02-15",2.92,1550199626000
"2019-02-15 04:00:26","2019-02-15",3.01,1550203226000
"2019-02-15 05:00:26","2019-02-15",3.04,1550206826000
"2019-02-15 06:00:26","2019-02-15",2.75,1550210426000
"2019-02-15 07:00:26","2019-02-15",3.04,1550214026000
"2019-02-15 08:00:26","2019-02-15",2.96,1550217626000
"2019-02-15 09:00:26","2019-02-15",3.12,1550221226000
"2019-02-15 10:00:26","2019-02-15",3.13,1550224826000
"2019-02-15 11:00:26","2019-02-15",3.05,1550228426000
"2019-02-15 12:00:26","2019-02-15",2.79,1550232026000
"2019-02-15 13:00:26","2019-02-15",3.09,1550235626000
"2019-02-15 14:00:26","2019-02-15",3.17,1550239226000
"2019-02-15 15:00:26","2019-02-15",2.9,1550242826000
"2019-02-15 16:00:26","2019-02-15",2.82,1550246426000
"2019-02-15 17:00:26","2019-02-15",3.09,1550250026000
"2019-02-15 18:00:26","2019-02-15",3.02,1550253626000
"2019-02-15 19:00:26","2019-02-15",3.17,1550257226000
"2019-02-15 20:00:26","2019-02-15",2.93,1550260826000
"2019-02-15 21:00:26","2019-02-15",2.92,1550264426000
"2019-02-15 22:00:26","2019-02-15",3.18,1550268026000
"2019-02-15 23:00:26","2019-02-15",2.92,1550271626000
"2019-02-16 00:00:26","2019-02-16",2.76,1550275226000
"2019-02-16 01:00:26","2019-02-16",2.8,1550278826000
"2019-02-16 02:00:26","2019-02-16",2.77,1550282426000
"2019-02-16 03:00:26","2019-02-16",2.69,1550286026000
"2019-02-16 04:00:26","2019-02-16",2.63,1550289626000
"2019-02-16 05:00:26","2019-02-16",2.61,1550293226000
"2019-02-16 06:00:26","2019-02-16",2.63,1550296826000
"2019-02-16 07:00:26","2019-02-16",2.55,1550300426000
"2019-02-16 08:00:26","2019-02-16",2.64,1550304026000
"2019-02-16 09:00:26","2019-02-16",2.83,1550307626000
"2019-02-16 10:00:26","2019-02-16",2.71,1550311226000
"2019-02-16 11:00:26","2019-02-16",2.76,1550314826000
"2019-02-16 12:00:26","2019-02-16",2.75,1550318426000
"2019-02-16 13:00:26","2019-02-16",2.38,1550322026000
"2019-02-16 14:00:26","2019-02-16",2.78,1550325626000
"2019-02-16 15:00:26","2019-02-16",2.62,1550329226000
"2019-02-16 16:00:26","2019-02-16",2.47,1550332826000
"2019-02-16 17:00:26","2019-02-16",2.57,1550336426000
"2019-02-16 18:00:26","2019-02-16",2.61,1550340026000
"2019-02-16 19:00:26","2019-02-16",2.6,1550343626000
"2019-02-16 20:00:26","2019-02-16",2.62,1550347226000
"2019-02-16 21:00:26","2019-02-16",2.62,1550350826000
"2019-02-16 22:00:26","2019-02-16",2.67,1550354426000
"2019-02-16 23:00:26","2019-02-16",2.52,1550358026000
"2019-02-17 00:00:26","2019-02-17",2.43,1550361626000
"2019-02-17 01:00:26","2019-02-17",2.76,1550365226000
"2019-02-17 02:00:26","2019-02-17",2.46,1550368826000
"2019-02-17 03:00:26","2019-02-17",2.48,1550372426000
"2019-02-17 04:00:26","2019-02-17",2.43,1550376026000
"2019-02-17 05:00:26","2019-02-17",2.55,1550379626000
"2019-02-17 06:00:26","2019-02-17",2.55,1550383226000
"2019-02-17 07:00:26","2019-02-17",2.66,1550386826000
"2019-02-17 08:00:26","2019-02-17",2.54,1550390426000
"2019-02-17 09:00:26","2019-02-17",2.36,1550394026000
"2019-02-17 10:00:26","2019-02-17",2.5,1550397626000
"2019-02-17 11:00:26","2019-02-17",2.27,1550401226000
"2019-02-17 12:00:26","2019-02-17",2.37,1550404826000
"2019-02-17 13:00:26","2019-02-17",2.65,1550408426000
"2019-02-17 14:00:26","2019-02-17",2.38,1550412026000
"2019-02-17 15:00:26","2019-02-17",2.35,1550415626000
"2019-02-17 16:00:26","2019-02-17",2.35,1550419226000
"2019-02-17 17:00:26","2019-02-17",2.2,1550422826000
"2019-02-17 18:00:26","2019-02-17",2.31,1550426426000
"2019-02-17 19:00:26","2019-02-17",2.24,1550430026000
"2019-02-17 20:00:26","2019-02-17",2.41,1550433626000
"2019-02-17 21:00:26","2019-02-17",2.48,1550437226000
"2019-02-17 22:00:26","2019-02-17",2.31,1550440826000
"2019-02-17 23:00:26","2019-02-17",2.35,1550444426000
"2019-02-18 00:00:26","2019-02-18",2.11,1550448026000
"2019-02-18 01:00:26","2019-02-18",2.22,1550451626000
"2019-02-18 02:00:26","2019-02-18",2.27,1550455226000
"2019-02-18 03:00:26","2019-02-18",2.18,1550458826000
"2019-02-18 04:00:26","2019-02-18",2.05,1550462426000
"2019-02-18 05:00:26","2019-02-18",1.96,1550466026000
"2019-02-18 06:00:26","2019-02-18",1.94,1550469626000
"2019-02-18 07:00:26","2019-02-18",2.2,1550473226000
"2019-02-18 08:00:26","2019-02-18",2.12,1550476826000
"2019-02-18 09:00:26","2019-02-18",2.04,1550480426000
"2019-02-18 10:00:26","2019-02-18",2.23,1550484026000
"2019-02-18 11:00:26","2019-02-18",2.3,1550487626000
"2019-02-18 12:00:26","2019-02-18",2.24,1550491226000
"2019-02-18 13:00:26","2019-02-18",2.17,1550494826000
"2019-02-18 14:00:26","2019-02-18",2.16,1550498426000
"2019-02-18 15:00:26","2019-02-18",2.11,1550502026000
"2019-02-18 16:00:26","2019-02-18",1.98,1550505626000
"2019-02-18 17:00:26","2019-02-18",1.97,1550509226000
"2019-02-18 18:00:26","2019-02-18",2.17,1550512826000
"2019-02-18 19:00:26","2019-02-18",2.34,1550516426000
"2019-02-18 20:00:26","2019-02-18",2.21,1550520026000
"2019-02-18 21:00:26","2019-02-18",2.18,1550523626000
"2019-02-18 22:00:26","2019-02-18",2.19,1550527226000
"2019-02-18 23:00:26","2019-02-18",2.2,1550530826000
"2019-02-19 00:00:50","2019-02-19",2.25,1550534450000
"2019-02-19 01:00:26","2019-02-19",2.13,1550538026000
"2019-02-19 02:00:26","2019-02-19",2.48,1550541626000
"2019-02-19 03:00:26","2019-02-19",2.27,1550545226000
"2019-02-19 04:00:26","2019-02-19",2.35,1550548826000
"2019-02-19 05:00:26","2019-02-19",2.43,1550552426000
"2019-02-19 06:00:26","2019-02-19",2.12,1550556026000
"2019-02-19 07:00:26","2019-02-19",2.28,1550559626000
"2019-02-19 08:00:26","2019-02-19",2.27,1550563226000
"2019-02-19 09:00:26","2019-02-19",2.3,1550566826000
"2019-02-19 10:00:26","2019-02-19",2.35,1550570426000
"2019-02-19 11:00:26","2019-02-19",2.3,1550574026000
"2019-02-19 12:00:26","2019-02-19",2.26,1550577626000
"2019-02-19 13:00:26","2019-02-19",2.22,1550581226000
"2019-02-19 14:00:26","2019-02-19",2.18,1550584826000
"2019-02-19 15:00:26","2019-02-19",2.03,1550588426000
"2019-02-19 16:00:26","2019-02-19",2.29,1550592026000
"2019-02-19 17:00:26","2019-02-19",1.91,1550595626000
"2019-02-19 18:00:26","2019-02-19",1.97,1550599226000
"2019-02-19 19:00:26","2019-02-19",1.99,1550602826000
"2019-02-19 20:00:26","2019-02-19",2.08,1550606426000
"2019-02-19 21:00:26","2019-02-19",2.19,1550610026000
"2019-02-19 22:00:26","2019-02-19",2.06,1550613626000
"2019-02-19 23:00:26","2019-02-19",1.85,1550617226000
"2019-02-20 00:00:26","2019-02-20",2.0,1550620826000
"2019-02-20 01:00:26","2019-02-20",2.11,1550624426000
"2019-02-20 02:00:26","2019-02-20",1.91,1550628026000
"2019-02-20 03:00:26","2019-02-20",1.88,1550631626000
"2019-02-20 04:00:26","2019-02-20",1.87,1550635226000
"2019-02-20 05:00:26","2019-02-20",1.92,1550638826000
"2019-02-20 06:00:26","2019-02-20",1.95,1550642426000
"2019-02-20 07:00:26","2019-02-20",1.91,1550646026000
"2019-02-20 08:00:26","2019-02-20",1.92,1550649626000
"2019-02-20 09:00:26","2019-02-20",1.96,1550653226000
"2019-02-20 10:00:26","2019-02-20",1.86,1550656826000
"2019-02-20 11:00:26","2019-02-20",1.97,1550660426000
"2019-02-20 12:00:26","2019-02-20",3.8,1550664026000
"2019-02-20 13:00:26","2019-02-20",1.87,1550667626000
"2019-02-20 14:00:26","2019-02-20",1.79,1550671226000
"2019-02-20 15:00:26","2019-02-20",1.7,1550674826000
"2019-02-20 16:00:26","2019-02-20",1.84,1550678426000
"2019-02-20 17:00:26","2019-02-20",1.89,1550682026000
"2019-02-20 18:00:26","2019-02-20",1.84,1550685626000
"2019-02-20 19:00:26","2019-02-20",1.86,1550689226000
"2019-02-20 20:00:26","2019-02-20",1.93,1550692826000
"2019-02-20 21:00:26","2019-02-20",1.98,1550696426000
"2019-02-20 22:00:26","2019-02-20",1.73,1550700026000
"2019-02-20 23:00:26","2019-02-20",1.82,1550703626000
"2019-02-21 00:00:26","2019-02-21",2.0,1550707226000
"2019-02-21 01:00:26","2019-02-21",1.72,1550710826000
"2019-02-21 02:00:26","2019-02-21",1.75,1550714426000
"2019-02-21 03:00:26","2019-02-21",1.73,1550718026000
"2019-02-21 04:00:26","2019-02-21",1.85,1550721626000
"2019-02-21 05:00:26","2019-02-21",1.82,1550725226000
"2019-02-21 06:00:26","2019-02-21",1.78,1550728826000
"2019-02-21 07:00:26","2019-02-21",1.71,1550732426000
"2019-02-21 08:00:26","2019-02-21",1.72,1550736026000
"2019-02-21 09:00:26","2019-02-21",1.88,1550739626000
"2019-02-21 10:00:26","2019-02-21",1.96,1550743226000
"2019-02-21 11:00:26","2019-02-21",1.73,1550746826000
"2019-02-21 12:00:26","2019-02-21",1.81,1550750426000
"2019-02-21 13:00:26","2019-02-21",1.69,1550754026000
"2019-02-21 14:00:26","2019-02-21",1.83,1550757626000
"2019-02-21 15:00:26","2019-02-21",1.8,1550761226000
"2019-02-21 16:00:26","2019-02-21",1.87,1550764826000
"2019-02-21 17:00:26","2019-02-21",2.16,1550768426000
"2019-02-21 18:00:26","2019-02-21",1.91,1550772026000
"2019-02-21 19:00:26","2019-02-21",1.71,1550775626000
"2019-02-21 20:00:26","2019-02-21",1.88,1550779226000
"2019-02-21 21:00:26","2019-02-21",1.91,1550782826000
"2019-02-21 22:00:26","2019-02-21",1.82,1550786426000
"2019-02-21 23:00:26","2019-02-21",1.8,1550790026000
"2019-02-22 00:00:26","2019-02-22",1.58,1550793626000
"2019-02-22 01:00:26","2019-02-22",1.74,1550797226000
"2019-02-22 02:00:26","2019-02-22",1.61,1550800826000
"2019-02-22 03:00:26","2019-02-22",1.72,1550804426000
"2019-02-22 04:00:26","2019-02-22",1.79,1550808026000
"2019-02-22 05:00:26","2019-02-22",1.61,1550811626000
"2019-02-22 06:00:26","2019-02-22",1.63,1550815226000
"2019-02-22 07:00:26","2019-02-22",1.78,1550818826000
"2019-02-22 08:00:26","2019-02-22",1.62,1550822426000
"2019-02-22 09:00:26","2019-02-22",1.73,1550826026000
"2019-02-22 10:00:26","2019-02-22",1.42,1550829626000
"2019-02-22 11:00:26","2019-02-22",1.72,1550833226000
"2019-02-22 12:00:26","2019-02-22",1.69,1550836826000
"2019-02-22 13:00:26","2019-02-22",1.63,1550840426000
"2019-02-22 14:00:26","2019-02-22",1.68,1550844026000
"2019-02-22 15:00:26","2019-02-22",1.54,1550847626000
"2019-02-22 16:00:26","2019-02-22",1.16,1550851226000
"2019-02-22 17:00:26","2019-02-22",1.59,1550854826000
"2019-02-22 18:00:26","2019-02-22",1.68,1550858426000
"2019-02-22 19:00:26","2019-02-22",1.55,1550862026000
"2019-02-22 20:00:26","2019-02-22",1.62,1550865626000
"2019-02-22 21:00:26","2019-02-22",1.31,1550869226000
"2019-02-22 22:00:26","2019-02-22",1.38,1550872826000
"2019-02-22 23:00:26","2019-02-22",1.44,1550876426000
"2019-02-23 00:00:26","2019-02-23",1.42,1550880026000
"2019-02-23 01:00:26","2019-02-23",1.51,1550883626000
"2019-02-23 02:00:26","2019-02-23",1.66,1550887226000
"2019-02-23 03:00:26","2019-02-23",1.37,1550890826000
"2019-02-23 04:00:26","2019-02-23",1.55,1550894426000
"2019-02-23 05:00:26","2019-02-23",1.71,1550898026000
"2019-02-23 06:00:26","2019-02-23",1.59,1550901626000
"2019-02-23 07:00:26","2019-02-23",1.39,1550905226000
"2019-02-23 08:00:26","2019-02-23",1.27,1550908826000
"2019-02-23 09:00:26","2019-02-23",1.22,1550912426000
"2019-02-23 10:00:26","2019-02-23",1.54,1550916026000
"2019-02-23 11:00:26","2019-02-23",1.16,1550919626000
"2019-02-23 12:00:26","2019-02-23",1.4,1550923226000
"2019-02-23 13:00:26","2019-02-23",1.19,1550926826000
"2019-02-23 14:00:26","2019-02-23",1.34,1550930426000
"2019-02-23 15:00:26","2019-02-23",1.3,1550934026000
"2019-02-23 16:00:26","2019-02-23",1.4,1550937626000
"2019-02-23 17:00:26","2019-02-23",1.34,1550941226000
"2019-02-23 18:00:26","2019-02-23",1.47,1550944826000
"2019-02-23 19:00:26","2019-02-23",1.44,1550948426000
"2019-02-23 20:00:26","2019-02-23",1.28,1550952026000
"2019-02-23 21:00:26","2019-02-23",1.18,1550955626000
"2019-02-23 22:00:26","2019-02-23",1.4,1550959226000
"2019-02-23 23:00:26","2019-02-23",1.42,1550962826000
"2019-02-24 00:00:26","2019-02-24",1.36,1550966426000
"2019-02-24 01:00:26","2019-02-24",1.26,1550970026000
"2019-02-24 02:00:26","2019-02-24",1.4,1550973626000
"2019-02-24 03:00:26","2019-02-24",1.4,1550977226000
"2019-02-24 04:00:26","2019-02-24",1.11,1550980826000
"2019-02-24 05:00:26","2019-02-24",1.32,1550984426000
"2019-02-24 06:00:26","2019-02-24",1.38,1550988026000
"2019-02-24 07:00:26","2019-02-24",1.33,1550991626000
"2019-02-24 08:00:26","2019-02-24",1.47,1550995226000
"2019-02-24 09:00:26","2019-02-24",1.36,1550998826000
"2019-02-24 10:00:26","2019-02-24",1.19,1551002426000
"2019-02-24 11:00:26","2019-02-24",1.33,1551006026000
"2019-02-24 12:00:26","2019-02-24",1.31,1551009626000
"2019-02-24 13:00:26","2019-02-24",1.31,1551013226000
"2019-02-24 14:00:26","2019-02-24",1.22,1551016826000
"2019-02-24 15:00:26","2019-02-24",1.45,1551020426000
"2019-02-24 16:00:26","2019-02-24",1.22,1551024026000
"2019-02-24 17:00:26","2019-02-24",1.23,1551027626000
"2019-02-24 18:00:26","2019-02-24",1.19,1551031226000
"2019-02-24 19:00:26","2019-02-24",1.32,1551034826000
"2019-02-24 20:00:26","2019-02-24",1.22,1551038426000
"2019-02-24 21:00:26","2019-02-24",1.1,1551042026000
"2019-02-24 22:00:26","2019-02-24",1.27,1551045626000
"2019-02-24 23:00:26","2019-02-24",1.34,1551049226000
"2019-02-25 00:00:26","2019-02-25",1.09,1551052826000
"2019-02-25 01:00:26","2019-02-25",1.33,1551056426000
"2019-02-25 02:00:26","2019-02-25",1.51,1551060026000
"2019-02-25 03:00:26","2019-02-25",1.21,1551063626000
