"datetime","date","do-i-subdaily-pct","epoch"
"2018-01-03 07:01:52","2018-01-03",84.7,1514962912000
"2018-01-03 07:16:52","2018-01-03",84.6,1514963812000
"2018-01-03 07:31:51","2018-01-03",84.5,1514964711000
"2018-01-03 07:46:52","2018-01-03",84.6,1514965612000
"2018-01-03 08:01:52","2018-01-03",84.5,1514966512000
"2018-01-03 08:16:52","2018-01-03",84.4,1514967412000
"2018-01-03 08:31:52","2018-01-03",84.7,1514968312000
"2018-01-03 08:46:53","2018-01-03",85.1,1514969213000
"2018-01-03 09:01:18","2018-01-03",84.9,1514970078000
"2018-01-03 09:16:52","2018-01-03",84.8,1514971012000
"2018-01-03 09:31:52","2018-01-03",84.7,1514971912000
"2018-01-03 09:46:51","2018-01-03",84.7,1514972811000
"2018-01-03 10:01:52","2018-01-03",84.3,1514973712000
"2018-01-03 10:16:51","2018-01-03",84.3,1514974611000
"2018-01-03 10:31:52","2018-01-03",84.5,1514975512000
"2018-01-03 10:46:51","2018-01-03",85.4,1514976411000
"2018-01-03 11:01:52","2018-01-03",85.8,1514977312000
"2018-01-03 11:16:52","2018-01-03",85.9,1514978212000
"2018-01-03 11:31:52","2018-01-03",85.7,1514979112000
"2018-01-03 11:46:52","2018-01-03",86.2,1514980012000
"2018-01-03 12:01:52","2018-01-03",86.8,1514980912000
"2018-01-03 12:16:52","2018-01-03",87.6,1514981812000
"2018-01-03 12:31:52","2018-01-03",88.3,1514982712000
"2018-01-03 12:46:52","2018-01-03",88.8,1514983612000
"2018-01-03 13:01:18","2018-01-03",89.1,1514984478000
"2018-01-03 13:16:52","2018-01-03",89.0,1514985412000
"2018-01-03 13:31:52","2018-01-03",89.5,1514986312000
"2018-01-03 13:46:51","2018-01-03",90.0,1514987211000
"2018-01-03 14:01:51","2018-01-03",90.4,1514988111000
"2018-01-03 14:16:52","2018-01-03",90.6,1514989012000
"2018-01-03 14:31:52","2018-01-03",90.4,1514989912000
"2018-01-03 14:46:52","2018-01-03",90.3,1514990812000
"2018-01-03 15:01:52","2018-01-03",90.1,1514991712000
"2018-01-03 15:16:52","2018-01-03",90.0,1514992612000
"2018-01-03 15:31:52","2018-01-03",89.7,1514993512000
"2018-01-03 15:46:52","2018-01-03",89.5,1514994412000
"2018-01-03 16:01:52","2018-01-03",89.4,1514995312000
"2018-01-03 16:16:52","2018-01-03",89.4,1514996212000
"2018-01-03 16:31:52","2018-01-03",88.9,1514997112000
"2018-01-03 16:46:52","2018-01-03",89.0,1514998012000
"2018-01-03 17:01:52","2018-01-03",88.5,1514998912000
"2018-01-03 17:16:52","2018-01-03",88.4,1514999812000
"2018-01-03 17:31:52","2018-01-03",89.8,1515000712000
"2018-01-03 17:46:52","2018-01-03",88.3,1515001612000
"2018-01-03 18:01:52","2018-01-03",87.5,1515002512000
"2018-01-03 18:16:52","2018-01-03",87.4,1515003412000
"2018-01-03 18:31:51","2018-01-03",87.3,1515004311000
"2018-01-03 18:46:51","2018-01-03",87.1,1515005211000
"2018-01-03 19:01:52","2018-01-03",87.1,1515006112000
