"datetime","date","ph-i-subdaily","epoch"
"2019-01-04 00:46:52","2019-01-04",3.32,1546562812000
"2019-01-04 01:01:52","2019-01-04",3.32,1546563712000
"2019-01-04 01:16:52","2019-01-04",3.31,1546564612000
"2019-01-04 01:31:52","2019-01-04",3.28,1546565512000
"2019-01-04 01:46:52","2019-01-04",3.28,1546566412000
"2019-01-04 02:01:52","2019-01-04",3.33,1546567312000
"2019-01-04 02:16:52","2019-01-04",3.28,1546568212000
"2019-01-04 02:31:52","2019-01-04",3.27,1546569112000
"2019-01-04 02:46:52","2019-01-04",3.33,1546570012000
"2019-01-04 03:01:52","2019-01-04",3.32,1546570912000
"2019-01-04 03:16:52","2019-01-04",3.28,1546571812000
"2019-01-04 03:31:52","2019-01-04",3.32,1546572712000
"2019-01-04 03:46:52","2019-01-04",3.33,1546573612000
"2019-01-04 04:01:52","2019-01-04",3.25,1546574512000
"2019-01-04 04:16:51","2019-01-04",3.26,1546575411000
"2019-01-04 04:31:52","2019-01-04",3.3,1546576312000
"2019-01-04 04:46:52","2019-01-04",3.27,1546577212000
"2019-01-04 05:01:25","2019-01-04",3.32,1546578085000
"2019-01-04 05:16:52","2019-01-04",3.36,1546579012000
"2019-01-04 05:31:52","2019-01-04",3.35,1546579912000
"2019-01-04 05:46:51","2019-01-04",3.35,1546580811000
"2019-01-04 06:01:52","2019-01-04",3.33,1546581712000
"2019-01-04 06:16:52","2019-01-04",3.33,1546582612000
"2019-01-04 06:31:52","2019-01-04",3.34,1546583512000
"2019-01-04 06:46:51","2019-01-04",3.43,1546584411000
"2019-01-04 07:01:51","2019-01-04",3.43,1546585311000
"2019-01-04 07:16:52","2019-01-04",3.44,1546586212000
"2019-01-04 07:31:52","2019-01-04",3.43,1546587112000
"2019-01-04 07:46:52","2019-01-04",3.43,1546588012000
"2019-01-04 08:01:52","2019-01-04",3.45,1546588912000
"2019-01-04 08:16:52","2019-01-04",3.5,1546589812000
"2019-01-04 08:31:51","2019-01-04",3.5,1546590711000
"2019-01-04 08:46:52","2019-01-04",3.5,1546591612000
"2019-01-04 09:01:52","2019-01-04",3.51,1546592512000
"2019-01-04 09:16:52","2019-01-04",3.5,1546593412000
"2019-01-04 09:31:52","2019-01-04",3.49,1546594312000
"2019-01-04 09:46:52","2019-01-04",3.5,1546595212000
"2019-01-04 10:01:52","2019-01-04",3.49,1546596112000
"2019-01-04 10:16:52","2019-01-04",3.49,1546597012000
"2019-01-04 10:31:52","2019-01-04",3.49,1546597912000
"2019-01-04 10:46:52","2019-01-04",3.48,1546598812000
