"datetime","date","cond-i-subdaily-uS","epoch"
"2021-01-03 09:47:11","2021-01-03",495.0,1609667231000
"2021-01-03 10:02:11","2021-01-03",495.0,1609668131000
"2021-01-03 10:17:11","2021-01-03",497.0,1609669031000
"2021-01-03 10:32:13","2021-01-03",497.0,1609669933000
"2021-01-03 10:47:11","2021-01-03",497.0,1609670831000
"2021-01-03 11:02:11","2021-01-03",499.0,1609671731000
"2021-01-03 11:17:11","2021-01-03",499.0,1609672631000
"2021-01-03 11:32:11","2021-01-03",500.0,1609673531000
"2021-01-03 11:47:11","2021-01-03",501.0,1609674431000
"2021-01-03 12:02:11","2021-01-03",501.0,1609675331000
"2021-01-03 12:17:11","2021-01-03",502.0,1609676231000
"2021-01-03 12:32:12","2021-01-03",502.0,1609677132000
"2021-01-03 12:47:11","2021-01-03",503.0,1609678031000
"2021-01-03 13:02:11","2021-01-03",503.0,1609678931000
"2021-01-03 13:17:11","2021-01-03",504.0,1609679831000
"2021-01-03 13:32:11","2021-01-03",505.0,1609680731000
"2021-01-03 13:47:11","2021-01-03",505.0,1609681631000
"2021-01-03 14:02:11","2021-01-03",506.0,1609682531000
"2021-01-03 14:17:11","2021-01-03",506.0,1609683431000
"2021-01-03 14:32:11","2021-01-03",507.0,1609684331000
"2021-01-03 14:47:11","2021-01-03",507.0,1609685231000
"2021-01-03 15:02:11","2021-01-03",508.0,1609686131000
"2021-01-03 15:17:12","2021-01-03",508.0,1609687032000
"2021-01-03 15:32:11","2021-01-03",508.0,1609687931000
"2021-01-03 15:47:11","2021-01-03",507.0,1609688831000
"2021-01-03 16:02:11","2021-01-03",508.0,1609689731000
"2021-01-03 16:17:14","2021-01-03",507.0,1609690634000
"2021-01-03 16:32:11","2021-01-03",505.0,1609691531000
"2021-01-03 16:47:11","2021-01-03",502.0,1609692431000
"2021-01-03 17:02:11","2021-01-03",499.0,1609693331000
"2021-01-03 17:17:14","2021-01-03",500.0,1609694234000
"2021-01-03 17:32:11","2021-01-03",501.0,1609695131000
"2021-01-03 17:47:11","2021-01-03",506.0,1609696031000
"2021-01-03 18:02:11","2021-01-03",530.0,1609696931000
"2021-01-03 18:17:11","2021-01-03",516.0,1609697831000
"2021-01-03 18:32:11","2021-01-03",506.0,1609698731000
"2021-01-03 18:47:11","2021-01-03",505.0,1609699631000
"2021-01-03 19:02:11","2021-01-03",502.0,1609700531000
"2021-01-03 19:17:14","2021-01-03",505.0,1609701434000
"2021-01-03 19:32:11","2021-01-03",505.0,1609702331000
"2021-01-03 19:47:11","2021-01-03",507.0,1609703231000
