"datetime","date","do-i-subdaily-mgL","epoch"
"2019-01-03 12:17:11","2019-01-03",11.44,1546517831000
"2019-01-03 12:32:11","2019-01-03",11.38,1546518731000
"2019-01-03 12:47:12","2019-01-03",11.33,1546519632000
"2019-01-03 13:02:11","2019-01-03",11.33,1546520531000
"2019-01-03 13:17:12","2019-01-03",11.35,1546521432000
"2019-01-03 13:32:12","2019-01-03",11.4,1546522332000
"2019-01-03 13:47:12","2019-01-03",11.48,1546523232000
"2019-01-03 14:02:12","2019-01-03",11.37,1546524132000
"2019-01-03 14:17:12","2019-01-03",11.28,1546525032000
"2019-01-03 14:32:12","2019-01-03",11.46,1546525932000
"2019-01-03 14:47:12","2019-01-03",11.56,1546526832000
"2019-01-03 15:02:12","2019-01-03",11.65,1546527732000
"2019-01-03 15:17:12","2019-01-03",11.73,1546528632000
"2019-01-03 15:32:12","2019-01-03",11.78,1546529532000
"2019-01-03 15:47:12","2019-01-03",11.79,1546530432000
"2019-01-03 16:02:11","2019-01-03",11.83,1546531331000
"2019-01-03 16:17:12","2019-01-03",11.87,1546532232000
"2019-01-03 16:32:12","2019-01-03",11.87,1546533132000
"2019-01-03 16:47:11","2019-01-03",11.66,1546534031000
"2019-01-03 17:02:12","2019-01-03",11.55,1546534932000
"2019-01-03 17:17:12","2019-01-03",11.5,1546535832000
"2019-01-03 17:32:11","2019-01-03",11.54,1546536731000
"2019-01-03 17:47:11","2019-01-03",11.59,1546537631000
"2019-01-03 18:02:11","2019-01-03",11.62,1546538531000
"2019-01-03 18:17:12","2019-01-03",11.68,1546539432000
"2019-01-03 18:32:12","2019-01-03",11.7,1546540332000
"2019-01-03 18:47:12","2019-01-03",11.71,1546541232000
"2019-01-03 19:02:12","2019-01-03",11.76,1546542132000
"2019-01-03 19:17:11","2019-01-03",11.78,1546543031000
"2019-01-03 19:32:11","2019-01-03",11.85,1546543931000
"2019-01-03 19:47:12","2019-01-03",11.9,1546544832000
"2019-01-03 20:02:11","2019-01-03",11.96,1546545731000
"2019-01-03 20:17:12","2019-01-03",11.99,1546546632000
"2019-01-03 20:32:12","2019-01-03",12.0,1546547532000
"2019-01-03 20:47:12","2019-01-03",12.06,1546548432000
"2019-01-03 21:02:12","2019-01-03",12.11,1546549332000
"2019-01-03 21:17:12","2019-01-03",12.16,1546550232000
"2019-01-03 21:32:12","2019-01-03",12.17,1546551132000
"2019-01-03 21:47:11","2019-01-03",12.16,1546552031000
"2019-01-03 22:02:11","2019-01-03",12.13,1546552931000
"2019-01-03 22:17:12","2019-01-03",12.22,1546553832000
"2019-01-03 22:32:12","2019-01-03",12.13,1546554732000
"2019-01-03 22:47:11","2019-01-03",12.02,1546555631000
"2019-01-03 23:02:12","2019-01-03",11.87,1546556532000
"2019-01-03 23:17:12","2019-01-03",11.68,1546557432000
"2019-01-03 23:32:12","2019-01-03",11.61,1546558332000
"2019-01-03 23:47:12","2019-01-03",11.55,1546559232000
"2019-01-04 00:02:12","2019-01-04",11.55,1546560132000
"2019-01-04 00:17:12","2019-01-04",11.58,1546561032000
"2019-01-04 00:32:12","2019-01-04",11.55,1546561932000
"2019-01-04 00:47:12","2019-01-04",11.49,1546562832000
"2019-01-04 01:02:12","2019-01-04",11.41,1546563732000
"2019-01-04 01:17:12","2019-01-04",11.36,1546564632000
"2019-01-04 01:32:12","2019-01-04",11.31,1546565532000
"2019-01-04 01:47:11","2019-01-04",11.34,1546566431000
"2019-01-04 02:02:11","2019-01-04",11.41,1546567331000
"2019-01-04 02:17:11","2019-01-04",11.45,1546568231000
"2019-01-04 02:32:11","2019-01-04",11.47,1546569131000
"2019-01-04 02:47:12","2019-01-04",11.23,1546570032000
"2019-01-04 03:02:11","2019-01-04",11.26,1546570931000
"2019-01-04 03:17:12","2019-01-04",11.32,1546571832000
"2019-01-04 03:32:12","2019-01-04",11.41,1546572732000
"2019-01-04 03:47:12","2019-01-04",11.52,1546573632000
"2019-01-04 04:02:12","2019-01-04",11.61,1546574532000
"2019-01-04 04:17:12","2019-01-04",11.6,1546575432000
"2019-01-04 04:32:11","2019-01-04",11.62,1546576331000
"2019-01-04 04:47:12","2019-01-04",11.71,1546577232000
"2019-01-04 05:02:11","2019-01-04",11.78,1546578131000
"2019-01-04 05:17:12","2019-01-04",11.78,1546579032000
"2019-01-04 05:32:11","2019-01-04",11.76,1546579931000
"2019-01-04 05:47:12","2019-01-04",11.63,1546580832000
"2019-01-04 06:02:12","2019-01-04",11.48,1546581732000
"2019-01-04 06:17:12","2019-01-04",11.35,1546582632000
"2019-01-04 06:32:12","2019-01-04",11.31,1546583532000
"2019-01-04 06:47:11","2019-01-04",11.29,1546584431000
"2019-01-04 07:02:12","2019-01-04",11.36,1546585332000
"2019-01-04 07:17:11","2019-01-04",11.42,1546586231000
"2019-01-04 07:32:12","2019-01-04",11.64,1546587132000
"2019-01-04 07:47:12","2019-01-04",11.75,1546588032000
"2019-01-04 08:02:11","2019-01-04",11.81,1546588931000
"2019-01-04 08:17:11","2019-01-04",11.88,1546589831000
"2019-01-04 08:32:11","2019-01-04",11.96,1546590731000
"2019-01-04 08:47:11","2019-01-04",12.03,1546591631000
"2019-01-04 09:02:12","2019-01-04",12.09,1546592532000
"2019-01-04 09:17:12","2019-01-04",12.13,1546593432000
"2019-01-04 09:32:11","2019-01-04",12.16,1546594331000
"2019-01-04 09:47:11","2019-01-04",12.18,1546595231000
"2019-01-04 10:02:12","2019-01-04",12.15,1546596132000
"2019-01-04 10:17:12","2019-01-04",12.19,1546597032000
"2019-01-04 10:32:12","2019-01-04",12.1,1546597932000
"2019-01-04 10:47:12","2019-01-04",12.0,1546598832000
"2019-01-04 11:02:12","2019-01-04",11.87,1546599732000
"2019-01-04 11:17:12","2019-01-04",11.85,1546600632000
"2019-01-04 11:32:12","2019-01-04",11.65,1546601532000
"2019-01-04 11:47:11","2019-01-04",11.48,1546602431000
"2019-01-04 12:02:11","2019-01-04",11.34,1546603331000
"2019-01-04 12:17:11","2019-01-04",11.34,1546604231000
"2019-01-04 12:32:12","2019-01-04",11.43,1546605132000
"2019-01-04 12:47:11","2019-01-04",11.41,1546606031000
"2019-01-04 13:02:12","2019-01-04",11.36,1546606932000
"2019-01-04 13:17:11","2019-01-04",11.31,1546607831000
"2019-01-04 13:32:11","2019-01-04",11.28,1546608731000
"2019-01-04 13:47:12","2019-01-04",11.3,1546609632000
"2019-01-04 14:02:12","2019-01-04",11.26,1546610532000
"2019-01-04 14:17:12","2019-01-04",11.28,1546611432000
"2019-01-04 14:32:12","2019-01-04",11.3,1546612332000
"2019-01-04 14:47:11","2019-01-04",11.32,1546613231000
"2019-01-04 15:02:11","2019-01-04",11.12,1546614131000
"2019-01-04 15:17:12","2019-01-04",11.18,1546615032000
"2019-01-04 15:32:12","2019-01-04",11.24,1546615932000
"2019-01-04 15:47:12","2019-01-04",11.4,1546616832000
"2019-01-04 16:02:12","2019-01-04",11.55,1546617732000
"2019-01-04 16:17:11","2019-01-04",11.68,1546618631000
"2019-01-04 16:32:11","2019-01-04",11.77,1546619531000
"2019-01-04 16:47:11","2019-01-04",11.82,1546620431000
"2019-01-04 17:02:11","2019-01-04",11.85,1546621331000
"2019-01-04 17:17:11","2019-01-04",11.87,1546622231000
"2019-01-04 17:32:12","2019-01-04",11.9,1546623132000
"2019-01-04 17:47:12","2019-01-04",11.69,1546624032000
"2019-01-04 18:02:12","2019-01-04",11.54,1546624932000
"2019-01-04 18:17:12","2019-01-04",11.44,1546625832000
"2019-01-04 18:32:12","2019-01-04",11.43,1546626732000
"2019-01-04 18:47:12","2019-01-04",11.54,1546627632000
"2019-01-04 19:02:12","2019-01-04",11.67,1546628532000
"2019-01-04 19:17:12","2019-01-04",11.74,1546629432000
"2019-01-04 19:32:11","2019-01-04",11.86,1546630331000
"2019-01-04 19:47:12","2019-01-04",11.9,1546631232000
"2019-01-04 20:02:12","2019-01-04",11.97,1546632132000
"2019-01-04 20:17:11","2019-01-04",11.96,1546633031000
"2019-01-04 20:32:12","2019-01-04",12.02,1546633932000
"2019-01-04 20:47:12","2019-01-04",11.98,1546634832000
"2019-01-04 21:02:11","2019-01-04",11.96,1546635731000
"2019-01-04 21:17:12","2019-01-04",11.98,1546636632000
"2019-01-04 21:32:12","2019-01-04",11.97,1546637532000
"2019-01-04 21:47:12","2019-01-04",11.98,1546638432000
"2019-01-04 22:02:11","2019-01-04",12.0,1546639331000
"2019-01-04 22:17:11","2019-01-04",12.04,1546640231000
"2019-01-04 22:32:12","2019-01-04",11.99,1546641132000
"2019-01-04 22:47:12","2019-01-04",12.02,1546642032000
"2019-01-04 23:02:12","2019-01-04",12.08,1546642932000
"2019-01-04 23:17:11","2019-01-04",11.9,1546643831000
"2019-01-04 23:32:12","2019-01-04",11.89,1546644732000
"2019-01-04 23:47:12","2019-01-04",11.82,1546645632000
"2019-01-05 00:02:12","2019-01-05",11.71,1546646532000
"2019-01-05 00:17:12","2019-01-05",11.59,1546647432000
"2019-01-05 00:32:11","2019-01-05",11.55,1546648331000
"2019-01-05 00:47:11","2019-01-05",11.57,1546649231000
"2019-01-05 01:02:12","2019-01-05",11.55,1546650132000
"2019-01-05 01:17:12","2019-01-05",11.46,1546651032000
"2019-01-05 01:32:12","2019-01-05",11.38,1546651932000
"2019-01-05 01:47:12","2019-01-05",11.33,1546652832000
"2019-01-05 02:02:11","2019-01-05",11.27,1546653731000
"2019-01-05 02:17:12","2019-01-05",11.25,1546654632000
"2019-01-05 02:32:11","2019-01-05",11.25,1546655531000
"2019-01-05 02:47:11","2019-01-05",11.34,1546656431000
"2019-01-05 03:02:12","2019-01-05",11.39,1546657332000
"2019-01-05 03:17:12","2019-01-05",11.35,1546658232000
"2019-01-05 03:32:11","2019-01-05",11.27,1546659131000
"2019-01-05 03:47:11","2019-01-05",11.31,1546660031000
"2019-01-05 04:02:12","2019-01-05",11.4,1546660932000
"2019-01-05 04:17:12","2019-01-05",11.53,1546661832000
"2019-01-05 04:32:11","2019-01-05",11.66,1546662731000
"2019-01-05 04:47:11","2019-01-05",11.77,1546663631000
"2019-01-05 05:02:11","2019-01-05",11.8,1546664531000
"2019-01-05 05:17:12","2019-01-05",11.78,1546665432000
"2019-01-05 05:32:11","2019-01-05",11.9,1546666331000
"2019-01-05 05:47:11","2019-01-05",11.98,1546667231000
"2019-01-05 06:02:12","2019-01-05",11.96,1546668132000
"2019-01-05 06:17:11","2019-01-05",11.77,1546669031000
"2019-01-05 06:32:11","2019-01-05",11.63,1546669931000
"2019-01-05 06:47:12","2019-01-05",11.56,1546670832000
"2019-01-05 07:02:12","2019-01-05",11.54,1546671732000
