"datetime","date","ph-i-subdaily","epoch"
"2022-01-03 19:47:11","2022-01-03",7.89,1641239231000
"2022-01-03 20:02:11","2022-01-03",7.89,1641240131000
"2022-01-03 20:17:11","2022-01-03",7.9,1641241031000
"2022-01-03 20:32:11","2022-01-03",7.91,1641241931000
"2022-01-03 20:47:11","2022-01-03",7.89,1641242831000
"2022-01-03 21:02:11","2022-01-03",7.91,1641243731000
"2022-01-03 21:17:11","2022-01-03",7.88,1641244631000
"2022-01-03 21:32:11","2022-01-03",7.91,1641245531000
"2022-01-03 21:47:11","2022-01-03",7.89,1641246431000
"2022-01-03 22:02:11","2022-01-03",7.91,1641247331000
"2022-01-03 22:17:11","2022-01-03",7.89,1641248231000
"2022-01-03 22:32:11","2022-01-03",7.88,1641249131000
"2022-01-03 22:47:11","2022-01-03",7.9,1641250031000
"2022-01-03 23:02:11","2022-01-03",7.88,1641250931000
"2022-01-03 23:17:14","2022-01-03",7.91,1641251834000
"2022-01-03 23:32:12","2022-01-03",7.91,1641252732000
"2022-01-03 23:47:11","2022-01-03",7.92,1641253631000
"2022-01-04 00:02:11","2022-01-04",7.91,1641254531000
"2022-01-04 00:17:12","2022-01-04",7.9,1641255432000
"2022-01-04 00:32:11","2022-01-04",7.97,1641256331000
"2022-01-04 00:47:11","2022-01-04",7.98,1641257231000
"2022-01-04 01:02:11","2022-01-04",7.98,1641258131000
"2022-01-04 01:17:11","2022-01-04",7.96,1641259031000
"2022-01-04 01:32:11","2022-01-04",7.94,1641259931000
"2022-01-04 01:47:11","2022-01-04",7.96,1641260831000
"2022-01-04 02:02:13","2022-01-04",7.96,1641261733000
"2022-01-04 02:17:11","2022-01-04",7.96,1641262631000
"2022-01-04 02:32:11","2022-01-04",7.96,1641263531000
"2022-01-04 02:47:11","2022-01-04",7.97,1641264431000
"2022-01-04 03:02:11","2022-01-04",7.98,1641265331000
"2022-01-04 03:17:11","2022-01-04",7.96,1641266231000
"2022-01-04 03:32:11","2022-01-04",7.98,1641267131000
"2022-01-04 03:47:11","2022-01-04",7.97,1641268031000
"2022-01-04 04:02:11","2022-01-04",7.95,1641268931000
"2022-01-04 04:17:11","2022-01-04",7.83,1641269831000
